context_window,strategy,mean_quality,p10_quality,mean_coverage,mean_factuality,exact_answer_rate,mean_cloud_tokens,median_cloud_tokens,p95_cloud_tokens,mean_input_tokens,mean_output_tokens,mean_agents_used,rag_only_rate,mean_overflow_ratio,mean_estimated_api_cost_usd,quality_target,token_saving_dynamic_vs_static_pct,quality_delta_dynamic_minus_static,exact_answer_rate_delta
4096,DYNAMIC_ACG,0.8762550830577541,0.7794551084820145,0.8608659800261331,0.9095535777343688,0.6994444444444444,10818.635555555555,11247.5,17067.85,8637.306111111111,2181.3294444444446,1.866111111111111,0.10666666666666667,0.3075396701093141,0.0018199951,0.82,35.42566719723822,0.006399491310649874,-0.0377777777777778
4096,STATIC_ALL,0.8698555917471043,0.7799903174498816,0.8850736163918703,0.8895253030968842,0.7372222222222222,16753.770555555555,17549.5,23210.55,12849.221111111112,3904.5494444444444,5.36,0.10666666666666667,0.5059138997153411,0.0028921648000000003,0.82,35.42566719723822,0.006399491310649874,-0.0377777777777778
8192,DYNAMIC_ACG,0.9330718053218824,0.890062366875517,0.9123523286229425,0.9604470719658764,0.9966666666666667,12377.731666666667,12932.0,21162.05,10076.387222222222,2301.3444444444444,1.866111111111111,0.10666666666666667,0.01232194005466189,0.002055070655555556,0.82,36.61265891454805,-0.013102619446745956,0.0
8192,STATIC_ALL,0.9461744247686283,0.8999819485805308,0.9627511527406035,0.9507479934426304,0.9966666666666667,19527.135,21269.5,27306.55,15502.570555555556,4024.5644444444442,5.36,0.10666666666666667,0.07262181500355724,0.0032972379222222224,0.82,36.61265891454805,-0.013102619446745956,0.0
16384,DYNAMIC_ACG,0.9352798720962588,0.8992327013113879,0.9133653138508963,0.9661048706078721,0.9966666666666667,12448.950555555555,12932.0,21734.35,10147.60611111111,2301.3444444444444,1.866111111111111,0.10666666666666667,0.0,0.0020650413,0.82,37.968219555538184,-0.02258311564866744,0.0
16384,STATIC_ALL,0.9578629877449263,0.9295909012655923,0.9654533008878607,0.9701383626456146,0.9966666666666667,20068.665555555555,21309.5,29723.8,16044.101111111111,4024.5644444444442,5.36,0.10666666666666667,0.0,0.0033730522,0.82,37.968219555538184,-0.02258311564866744,0.0
32768,DYNAMIC_ACG,0.9353809126697823,0.8984419646861957,0.9133653138508963,0.9661048706078721,0.9966666666666667,12448.950555555555,12932.0,21734.35,10147.60611111111,2301.3444444444444,1.866111111111111,0.10666666666666667,0.0,0.0020650413,0.82,37.968219555538184,-0.022834431162743307,0.0
32768,STATIC_ALL,0.9582153438325256,0.9315326006049237,0.9654533008878607,0.9701383626456146,0.9966666666666667,20068.665555555555,21309.5,29723.8,16044.101111111111,4024.5644444444442,5.36,0.10666666666666667,0.0,0.0033730522,0.82,37.968219555538184,-0.022834431162743307,0.0
