model,complexity_class,mean_quality,median_quality,p10_quality,success_rate,failure_rate,mean_tokens,median_tokens,p95_tokens,mean_agents,mean_reflections
Model A — static,simple,0.8075496428824303,0.8090665423332697,0.7539902586983016,1.0,0.0,3336.541913338987,3336.1003206009145,3476.509857684094,3.0,1.0
Model B — dynamic,simple,0.8297328000412698,0.829478642059821,0.7964149846002115,1.0,0.0,2054.0267293007296,2286.6851504194965,2419.8915796714073,1.7380136986301369,0.9914383561643836
Model A — static,medium,0.8720316054113075,0.873881335233602,0.8362274565709268,1.0,0.0,3506.2261778861757,3500.6301502405267,3656.0589090238714,3.0,1.0
Model B — dynamic,medium,0.8375764265680226,0.8374334870756639,0.8102515155422781,1.0,0.0,2569.038963408568,2399.187482549184,3640.942750679568,2.2244897959183674,0.8545918367346939
Model A — static,hard,0.8528605428258934,0.8509987637324832,0.8164581881529793,1.0,0.0,3659.3691500656028,3662.159472972324,3811.734471036284,3.0,1.0
Model B — dynamic,hard,0.8369132143959009,0.8369994643488283,0.8055123253510348,1.0,0.0,3372.837183857234,3672.6521381521848,4597.216669573756,2.638392857142857,1.1071428571428572
